"title","artist"
"Alalá da Pena","Alalá da Pena"
"BAILAORA 👠","DELLAFUENTE"
"Dancin In The Garage","Dancin In The Garage"
"DJ Tony Pecino X Montelier","Desconectado"
"Places Like This","Dettmann & Klock"
"Massive","Drake"
"Entero Pa' Ti (Videoclip Oficial)","El Combo Dominicano"
"ATMOSPHERE [LYRIC VIDEO]","FISHER x KITA ALEXANDER"
"Guess Who's Back","Guess Who's Back"
"Hook N Sling ft","Hook N Sling ft"
"I've Got Your Love","I've Got Your Love"
"Ice Cube, Mack 10, Ms","Ice Cube, Mack 10, Ms"
"Idilio","Idilio"
"Intentions","Jay De Lys, Piem"
"En Barranquilla Me Quedo","Joe Arroyo"
"La Noche Mas Linda","La Noche Mas Linda"
"Lavandeira","Lavandeira"
"Snooze You Lose [RWL004]","Niko Maxen"
"Echoes (Official Audio)","Pink Floyd"
"Sofisticate","Sofisticate"
"Sucias","Sucias"
"Time for Freakness (On the Ride) [PAGER014]","Sweely"
"Sísamo","Sísamo"
"At The Door (Official Video)","The Strokes"
"Fake Friends (Extended)","Trace"
"Ven bailar Carmiña","Ven bailar Carmiña"
"ABUSADORA","WILFRIDO VARGAS"
"Who Dares To Believe In Me (Extended Mix)","Who Dares To Believe In Me (Extended Mix)"
"Buscando Guayaba (Letras⧸Lyrics)","Willie Colon & Ruben Blades"
"Wise","Wise"
"You Used To Hold Me (Spiritchaser Remix)","You Used To Hold Me (Spiritchaser Remix)"
"Still Ballin","2pac- Still Ballin"
